Condition,Model,Yoruba Proverb,Gold Translation,Generated Translation
ZeroShot-CoT,GPT,Afínjú wọ ọjà ó rìn gbẹndẹ́kẹ ọ̀bún wọ ọjà ó rìn ṣùẹ̀ṣùẹ̀; ọ̀bùn ní ó ru ẹrù afínjú relé.,The fashionable person enters the market and walks in a leisurely manner; the filthy person enters the market and walks in a sluggish manner; it is the filthy person that will carry the fashionable person's load to the house for him or her.,"To translate the Yoruba proverb ""Afínjú wọ ọjà ó rìn gbẹndẹ́kẹ ọ̀bún wọ ọjà ó rìn ṣùẹ̀ṣùẹ̀; ọ̀bùn ní ó ru ẹrù afínjú relé"" into English, let's break it down step by step:

1. **Afínjú**: This refers to a person who is meticulous or elegant in appearance.
2. **Wọ ọjà**: This means ""enters the market.""
3. **Ó rìn gbẹndẹ́kẹ**: This describes walking in a confident or flamboyant manner.
4. **Ọ̀bún**: This refers to a person who is less concerned with appearance, perhaps more practical or rugged.
5. **Ó rìn ṣùẹ̀ṣùẹ̀**: This describes walking in a more subdued or unassuming manner.
6. **Ọ̀bùn ní ó ru ẹrù afínjú relé**: This means ""it is the less concerned person who carries the load of the meticulous person home.""

Putting it all together, the proverb can be translated as:

""The meticulous person enters the market walking confidently, while the less concerned person enters walking unassumingly; it is the less concerned person who ends up carrying the meticulous person's load home.""

This proverb highlights the idea that appearances can be deceiving, and those who seem less impressive or flamboyant may actually be the ones who handle responsibilities or burdens effectively."
ZeroShot-CoT,GPT,"Aáyán ati eèràá ṣígun, wọ́n ní àwọ́n ńlọ mú adìẹ àlọ la rí, a ò rábọ̀.","Cockroach and ant make ready for war and say they are off to capture chicken; we see their departure, but not their return.","To translate the Yoruba proverb ""Aáyán ati eèràá ṣígun, wọ́n ní àwọ́n ńlọ mú adìẹ àlọ la rí, a ò rábọ̀"" into English, let's break it down step by step:

1. **Aáyán ati eèràá ṣígun**: This part refers to ""termites and ants digging.""

2. **wọ́n ní àwọ́n ńlọ mú adìẹ àlọ la rí**: This translates to ""they said they were going to catch a chicken that strayed.""

3. **a ò rábọ̀**: This means ""we did not see the sacrifice.""

Putting it all together, the proverb can be translated as: ""The termites and ants were digging, they said they were going to catch a chicken that strayed, but we did not see the sacrifice.""

This proverb suggests that sometimes people claim to be working towards a goal or solving a problem, but the expected results or evidence of their efforts are not visible."
ZeroShot-CoT,GPT,Ẹlẹ́dẹ̀ ò mẹ̀yẹ.,A pig does not know what is becoming.,"The Yoruba proverb ""Ẹlẹdẹ ò mẹ̀yẹ"" can be translated into English as ""The pig is not a creature of beauty"" or ""The pig is not admirable."" 

Let's break it down step by step:

1. **Ẹlẹdẹ**: This word means ""pig"" in Yoruba.
2. **ò**: This is a negation particle in Yoruba, similar to ""not"" in English.
3. **mẹ̀yẹ**: This word means ""admirable"" or ""beautiful.""

Putting it all together, the proverb conveys the idea that a pig is not considered a creature of beauty or admiration. This proverb is often used metaphorically to express that certain things or people may not be admirable or praiseworthy, regardless of how they are perceived or presented."
ZeroShot-CoT,GPT,"Ẹ̀wọ̀n tó tó ọ̀pẹ ò tó-ó dá erin dúró; ìtàkùn tó ní kí erin má ròkè ọ̀dàn, tòun terin ní ńlọ.",A chain as thick as a palm-tree cannot stop an elephant; the vine that proposes to stop the elephant from going to the grassland will go with the elephant.,"To translate the Yoruba proverb ""Ẹ̀wọ̀n tó tó ọ̀pẹ ò tó-ó dá erin dúró; ìtàkùn tó ní kí erin má ròkè ọ̀dàn, tòun terin ní ńlọ"" into English, let's break it down step by step:

1. **Ẹ̀wọ̀n tó tó ọ̀pẹ ò tó-ó dá erin dúró**: 
   - ""Ẹ̀wọ̀n"" means ""a chain"" or ""a restriction.""
   - ""tó tó ọ̀pẹ"" refers to ""that is tied to a palm tree.""
   - ""ò tó-ó dá erin dúró"" means ""is not enough to stop an elephant.""

   This part of the proverb suggests that a chain tied to a palm tree is not strong enough to hold back an elephant.

2. **ìtàkùn tó ní kí erin má ròkè ọ̀dàn**:
   - ""ìtàkùn"" means ""a rope"" or ""a binding.""
   - ""tó ní kí erin má ròkè ọ̀dàn"" translates to ""that tells the elephant not to climb the savannah.""

   This part implies that a rope that instructs an elephant not to climb the savannah is ineffective.

3. **tòun terin ní ńlọ**:
   - ""tòun"" means ""it is.""
   - ""terin ní ńlọ"" translates to ""the elephant that is going.""

   This part indicates that despite the restrictions, the elephant continues on its path.

Putting it all together, the proverb can be translated as:

""A chain tied to a palm tree is not enough to stop an elephant; a rope that tells the elephant not to climb the savannah is ineffective, as the elephant continues on its way.""

This proverb conveys the idea that weak or inadequate restrictions cannot stop someone or something determined to move forward."
ZeroShot-CoT,GPT,"Àfòpiná tó ní òun ó pa fìtílà, ara ẹ̀ ni yó pa.",The moth that attempts to kill (put out) the oil lamp will kill itself.,"To translate the Yoruba proverb ""Àfòpiná tó ní òun ó pa fìtílà, ara ẹ̀ ni yó pa"" into English, let's break it down step by step:

1. **Àfòpiná**: This word refers to a ""moth"" or ""insect"" that is attracted to light.
2. **tó ní òun ó pa fìtílà**: This phrase means ""that says it will extinguish the lamp."" Here, ""òun"" means ""it,"" ""ó"" is a future tense marker meaning ""will,"" ""pa"" means ""extinguish"" or ""put out,"" and ""fìtílà"" means ""lamp.""
3. **ara ẹ̀ ni yó pa**: This part translates to ""it is itself that will be destroyed."" ""Ara ẹ̀"" means ""itself,"" ""ni"" is an emphasis marker, ""yó"" is another future tense marker meaning ""will,"" and ""pa"" in this context means ""destroy"" or ""kill.""

Putting it all together, the proverb can be translated as: ""The moth that says it will extinguish the lamp will destroy itself.""

This proverb conveys the idea that someone who attempts to harm or undermine something greater than themselves may end up causing their own downfall."
ZeroShot-CoT,GPT,"Àgbàlagbà akàn tó kó sí garawa yègèdè, ojú tì í.",The elderly crab that enters into a bucket; it is thoroughly disgraced.,"To translate the Yoruba proverb ""Àgbàlagbà akàn tó kó sí garawa yègèdè, ojú tì í"" into English, let's break it down step by step:

1. **Àgbàlagbà akàn**: This phrase refers to an ""elderly crab."" In Yoruba proverbs, animals are often used metaphorically to convey human traits or behaviors.

2. **tó kó sí garawa yègèdè**: ""Tó kó"" means ""that enters"" or ""that goes into."" ""Garawa"" is a container, often a large bowl or basin. ""Yègèdè"" implies something that is wide or spacious. So, this part of the proverb describes the crab entering a wide or spacious container.

3. **ojú tì í**: ""Ojú tì"" means ""is ashamed"" or ""is embarrassed."" The ""í"" at the end refers back to the subject, which is the crab.

Putting it all together, the proverb can be translated as: ""The elderly crab that enters a wide container is embarrassed.""

This proverb metaphorically suggests that even those who are experienced or wise (like the elderly crab) can find themselves in situations where they feel out of place or embarrassed, especially when they overestimate their abilities or the situation."
ZeroShot-CoT,GPT,A pè ọ́ lọ́mọ erín-màgbọn ò ńyọ̀; ìwọ pàápàá ló mì í?,"You are described as the child of the elephant that swallows coconuts, and you rejoice; are you the one who swallows coconuts?","To translate the Yoruba proverb ""A pè ọ́ lọ́mọ erín-màgbọn ò ńyọ̀; ìwọ pàápàá ló mì í?"" into English, let's break it down step by step:

1. **A pè ọ́ lọ́mọ erín-màgbọn**: This part can be translated as ""We called you the child of the wise elephant."" In Yoruba culture, elephants are often associated with wisdom and strength.

2. **ò ńyọ̀**: This means ""is laughing"" or ""is smiling.""

3. **ìwọ pàápàá ló mì í?**: This translates to ""are you the one who is laughing?"" or ""are you the one who is smiling?""

Putting it all together, the proverb can be translated to English as: ""We called you the child of the wise elephant, and you are the one laughing?"" 

This proverb is often used to express surprise or disappointment when someone who is expected to behave wisely or seriously is instead behaving inappropriately or foolishly."
ZeroShot-CoT,GPT,Olówó ní ḿbá ọlọ́rọ̀-ọ́ rìn; ẹgbẹ́ ní ḿbá ẹgbẹ́ ṣeré.,It is a rich person that keeps company with a wealthy person; only people of equal standing play together.,"To translate the Yoruba proverb ""Olówó ní ḿbá ọlọ́rọ̀-ọ́ rìn; ẹgbẹ́ ní ḿbá ẹgbẹ́ ṣeré"" into English, let's break it down step by step:

1. **Olówó**: This word means ""a wealthy person"" or ""someone with money.""
2. **ní ḿbá**: This phrase means ""walks with"" or ""associates with.""
3. **ọlọ́rọ̀-ọ́**: This word means ""another wealthy person"" or ""a rich person.""
4. **rìn**: This means ""walk"" or ""move.""
5. **ẹgbẹ́**: This word means ""peer"" or ""equal.""
6. **ní ḿbá**: Again, this means ""associates with"" or ""plays with.""
7. **ṣeré**: This means ""play.""

Putting it all together, the proverb can be translated as:
""A wealthy person associates with another wealthy person; a peer plays with a peer.""

This proverb suggests that people tend to associate with others who are similar to them in status or circumstances."
ZeroShot-CoT,GPT,Kí ẹrú mọ ara ẹ̀ lẹ́rú; kí ìwọ̀fà mọ ara ẹ̀ níwọ̀fà; kí ọmọlúwàbí mọ ara ẹ̀ lẹ́rú Ọlọ́run ọba.,Let the slave know him/herself as a slave; let the pawn know him/herself as a pawn; let the well born person know him/herself as the child of God.,"To translate the Yoruba proverb into English, let's break it down step by step:

1. **""Kí ẹrú mọ ara ẹ̀ lẹ́rú""**: 
   - ""Kí"" means ""let"" or ""may.""
   - ""ẹrú"" means ""slave"" or ""servant.""
   - ""mọ ara ẹ̀"" means ""know oneself.""
   - ""lẹ́rú"" means ""as a slave"" or ""in the capacity of a slave.""
   - So, this part translates to: ""Let the slave know himself as a slave.""

2. **""kí ìwọ̀fà mọ ara ẹ̀ níwọ̀fà""**:
   - ""ìwọ̀fà"" refers to a ""bonded servant"" or ""indentured servant.""
   - ""níwọ̀fà"" means ""as a bonded servant.""
   - This part translates to: ""Let the bonded servant know himself as a bonded servant.""

3. **""kí ọmọlúwàbí mọ ara ẹ̀ lẹ́rú Ọlọ́run ọba""**:
   - ""ọmọlúwàbí"" refers to a ""person of good character"" or ""noble person.""
   - ""lẹ́rú Ọlọ́run ọba"" means ""as a servant of God the King.""
   - This part translates to: ""Let the person of good character know himself as a servant of God the King.""

Putting it all together, the full translation of the proverb is:
""Let the slave know himself as a slave; let the bonded servant know himself as a bonded servant; let the person of good character know himself as a servant of God the King.""

This proverb emphasizes the importance of self-awareness and understanding one's role or position in life."
ZeroShot-CoT,GPT,A kì í gbọ́n ju ẹni tí a máa dÍfá fún.,One cannot be wiser than the person for whom one will consult the Ifá oracle.,"To translate the Yoruba proverb ""A kì í gbọ́n ju ẹni tí a máa dÍfá fún"" into English, let's break it down step by step:

1. **A kì í**: This phrase means ""one does not"" or ""it is not done to.""

2. **gbọ́n**: This word means ""be wise"" or ""be more knowledgeable.""

3. **ju**: This word means ""more than"" or ""beyond.""

4. **ẹni**: This word means ""the person"" or ""the one.""

5. **tí a máa**: This phrase means ""that one will"" or ""who will.""

6. **dÍfá fún**: This phrase means ""consult Ifá for"" or ""perform Ifá divination for.""

Putting it all together, the proverb can be translated to: ""One does not become wiser than the person for whom Ifá will be consulted.""

This proverb suggests that no matter how wise or knowledgeable one may be, there are limits to one's understanding, especially in matters that require divine insight or guidance, such as those provided by the Ifá divination system."
ZeroShot-CoT,GPT,Kí ni wọ́n ti ńṣe Àmọ́dù nÍlọrin? Ewúrẹ́ ńjẹ́ bẹ́ẹ̀.,What use do the people of Ilorin have for Ahmadu? Even goats are so named.,"To translate the Yoruba proverb ""Kí ni wọ́n ti ńṣe Àmọ́dù nÍlọrin? Ewúrẹ́ ńjẹ́ bẹ́ẹ̀."" into English, let's break it down step by step:

1. **Kí ni wọ́n ti ńṣe Àmọ́dù nÍlọrin?**  
   - ""Kí ni"" means ""What is"" or ""What are.""
   - ""wọ́n ti ńṣe"" means ""they doing"" or ""being done.""
   - ""Àmọ́dù"" is a name, often used in proverbs to refer to a person or a character.
   - ""nÍlọrin"" means ""in Ilorin,"" which is a city in Nigeria.

   So, this part translates to: ""What is Àmọ́dù doing in Ilorin?""

2. **Ewúrẹ́ ńjẹ́ bẹ́ẹ̀.**  
   - ""Ewúrẹ́"" means ""goat.""
   - ""ńjẹ́"" means ""eating"" or ""is eating.""
   - ""bẹ́ẹ̀"" means ""like that"" or ""in that manner.""

   So, this part translates to: ""The goat is eating like that.""

Putting it all together, the proverb translates to: ""What is Àmọ́dù doing in Ilorin? The goat is eating like that.""

This proverb is often used to imply that someone is doing something unusual or unexpected, similar to how a goat might eat in an unexpected manner. It suggests that the actions of the person in question are peculiar or noteworthy."
ZeroShot-CoT,GPT,A-dá-má-lè-ṣe àdàbà tí ńdún bẹ̀m̀bẹ̀.,Start-something-it-cannot-finish dove that makes bombastic noises.,"To translate the Yoruba proverb ""A-dá-má-lè-ṣe àdàbà tí ńdún bẹ̀m̀bẹ̀"" into English, let's break it down step by step:

1. **A-dá-má-lè-ṣe**: This phrase can be understood as ""one who claims to be innocent"" or ""one who pretends to be harmless.""

2. **àdàbà**: This word means ""dove"" in Yoruba. Doves are often symbols of peace and innocence.

3. **tí ńdún bẹ̀m̀bẹ̀**: This part of the proverb describes the action of making a sound, specifically ""bẹ̀m̀bẹ̀,"" which can be interpreted as a loud or noticeable noise.

Putting it all together, the proverb can be translated to: ""The one who claims to be as innocent as a dove makes a loud noise.""

This proverb suggests that someone who pretends to be innocent or harmless may actually be drawing attention to themselves through their actions, indicating that they might not be as innocent as they claim."
ZeroShot-CoT,GPT,A-lu-dùndún kì í dárin.,The dùndún player does not lead a song.,"To translate the Yoruba proverb ""A-lu-dùndún kì í dárin"" into English, let's break it down step by step:

1. **A-lu-dùndún**: This term refers to someone who is boastful or someone who makes a lot of noise about their achievements or possessions. It can be likened to a braggart or someone who is full of themselves.

2. **kì í**: This phrase means ""does not"" or ""never."" It is used to indicate a negation or something that does not happen.

3. **dárin**: This word means ""to laugh"" or ""to smile."" It refers to the act of showing amusement or happiness through laughter.

Putting it all together, the proverb ""A-lu-dùndún kì í dárin"" can be translated to English as: ""A boastful person does not laugh."" 

This proverb suggests that those who are overly boastful or full of themselves often do not find genuine joy or amusement, as they are too focused on their own self-importance."
ZeroShot-CoT,GPT,Aláṣọ-kan kì í ná ànárẹ.,A person who has only one set of clothing does not bargain until he is wet.,"To translate the Yoruba proverb ""Aláṣọ-kan kì í ná ànárẹ"" into English, let's break it down step by step:

1. **Aláṣọ-kan**: This phrase can be broken into ""aláṣọ"" (one who has clothes) and ""kan"" (one). Together, ""aláṣọ-kan"" means ""a person with only one cloth"" or ""someone with just one garment.""

2. **kì í**: This is a negative construction in Yoruba, meaning ""does not"" or ""will not.""

3. **ná**: This means ""wear out"" or ""become worn out.""

4. **ànárẹ**: This refers to ""in a day"" or ""in one day.""

Putting it all together, the proverb ""Aláṣọ-kan kì í ná ànárẹ"" translates to ""A person with only one cloth does not wear it out in one day.""

The proverb conveys the idea of resourcefulness and careful management. It suggests that even if you have limited resources, with careful use and management, they can last longer than expected."
ZeroShot-CoT,GPT,Ọjọ́ àgbà-á kú sàn ju ọjọ́ àgbà-á tẹ́.,The day an elder dies is far better than the day an elder is disgraced.,"To translate the Yoruba proverb ""Ọjọ́ àgbà-á kú sàn ju ọjọ́ àgbà-á tẹ́"" into English, let's break it down step by step:

1. **Ọjọ́**: This means ""day"" or ""time.""
2. **àgbà-á**: This refers to an ""elder"" or ""old person.""
3. **kú**: This means ""to die.""
4. **sàn ju**: This phrase means ""is better than.""
5. **tẹ́**: This means ""to be disgraced"" or ""to be humiliated.""

Putting it all together, the proverb can be translated as: ""The day an elder dies is better than the day an elder is disgraced.""

This proverb suggests that it is more honorable for an elder to pass away than to live in disgrace or humiliation. It emphasizes the value of maintaining dignity and respect throughout one's life."
ZeroShot-CoT,GPT,Ẹyẹ ò lè rí omi inú àgbọn bù mu.,A bird cannot get at the liquid inside a coconut to drink.,"To translate the Yoruba proverb ""Ẹyẹ ò lè rí omi inú àgbọn bù mu"" into English, let's break it down step by step:

1. **Ẹyẹ**: This means ""bird"" in English.
2. **ò lè**: This phrase means ""cannot"" or ""is not able to.""
3. **rí**: This means ""see.""
4. **omi**: This translates to ""water.""
5. **inú**: This means ""inside.""
6. **àgbọn**: This refers to a ""coconut.""
7. **bù mu**: This means ""to drink.""

Putting it all together, the proverb literally translates to: ""A bird cannot see the water inside a coconut to drink.""

In essence, this proverb conveys the idea that some things are hidden or inaccessible, no matter how much one might desire them. It suggests that certain opportunities or resources are not available to everyone, or that some things are beyond one's reach or understanding."
ZeroShot-CoT,GPT,“Mo mọ̀-ọ́ tán” lOrò-ó fi ńgbé ọkùnrin.,“I know it all” is the reason for Orò's carrying a man away.,"To translate the Yoruba proverb ““Mo mọ̀-ọ́ tán” lOrò-ó fi ńgbé ọkùnrin” into English, let's break it down step by step:

1. **“Mo mọ̀-ọ́ tán”**: This phrase can be translated as ""I know it all"" or ""I know everything."" It reflects a sense of complete knowledge or understanding.

2. **“lOrò-ó fi ńgbé”**: The word ""lOrò"" means ""pride"" or ""arrogance,"" and ""fi ńgbé"" means ""carries"" or ""lifts."" Together, this part of the proverb suggests that pride or arrogance is what carries or supports something.

3. **“ọkùnrin”**: This word means ""man.""

Putting it all together, the proverb can be translated to: ""It is 'I know it all' that pride uses to carry a man."" 

This proverb warns against the dangers of arrogance and overconfidence, suggesting that such attitudes can lead to a person's downfall."
ZeroShot-CoT,GPT,Nígbàtí à ńto ọkà a ò to ti ẹmọ́ si.,When we were stacking the corn we did not stack some for the brown rat.,"To translate the Yoruba proverb ""Nígbàtí à ńto ọkà a ò to ti ẹmọ́ si"" into English, let's break it down step by step:

1. **Nígbàtí** - This means ""when"" or ""while.""
2. **à ńto** - This phrase means ""we are arranging"" or ""we are organizing.""
3. **ọkà** - This refers to ""corn"" or ""maize.""
4. **a ò to** - This means ""we do not arrange"" or ""we do not organize.""
5. **ti ẹmọ́ si** - ""ti"" is a possessive marker, and ""ẹmọ́"" means ""sorghum."" ""Si"" in this context can imply ""as well"" or ""also.""

Putting it all together, the proverb can be translated to English as: ""While we are arranging the corn, we do not arrange the sorghum as well.""

This proverb suggests that one should focus on one task at a time rather than trying to do everything at once."
ZeroShot-CoT,GPT,"Àbúrò rẹ ńdáṣọ fún ọ, o ní o ò lo elékuru; ta ní ńlo alákàrà?","Your junior brother (or sister) buys clothing for you, and you say you will not wear anything with bean-grits patterns; who has the right to opt for clothing with a bean-fritter patterns?","To translate the Yoruba proverb ""Àbúrò rẹ ńdáṣọ fún ọ, o ní o ò lo elékuru; ta ní ńlo alákàrà?"" into English, let's break it down step by step:

1. **Àbúrò rẹ ńdáṣọ fún ọ**: This part means ""Your younger sibling is sewing clothes for you."" In Yoruba culture, this implies someone is doing something beneficial or helpful for you.

2. **o ní o ò lo elékuru**: This translates to ""you say you don't wear elékuru."" ""Elékuru"" refers to a type of fabric or clothing that is considered less prestigious or of lower quality.

3. **ta ní ńlo alákàrà?**: This means ""who wears alákàrà?"" ""Alákàrà"" is another type of fabric or clothing, often considered even less prestigious than ""elékuru.""

Putting it all together, the proverb can be translated as: ""Your younger sibling is sewing clothes for you, and you say you don't wear elékuru; who then wears alákàrà?"" 

The proverb is used to highlight ingratitude or the act of being overly selective or dismissive of help or gifts, especially when one is not in a position to be choosy."
ZeroShot-CoT,GPT,"Bí kò sí tọ̀bùn èèyàn, ta ni ìbá jí lówùúrọ̀ tí kò bọ́jú ṣáṣá?","But for a person of filthy habits, who would wake in the morning and not wash his or her face clean?","To translate the Yoruba proverb ""Bí kò sí tọ̀bùn èèyàn, ta ni ìbá jí lówùúrọ̀ tí kò bọ́jú ṣáṣá?"" into English, let's break it down step by step:

1. **Bí kò sí tọ̀bùn èèyàn**: This phrase can be translated as ""If there is no perfect person"" or ""If no one is perfect.""

2. **ta ni ìbá jí lówùúrọ̀**: This part means ""who would wake up in the morning.""

3. **tí kò bọ́jú ṣáṣá?**: This translates to ""without covering their face?"" or ""without any flaws?""

Putting it all together, the proverb can be translated into English as:
""If no one is perfect, who would wake up in the morning without any flaws?""

This proverb suggests that everyone has imperfections, and it is a reminder of the universal nature of human flaws."
ZeroShot-CoT,GPT,Àpọ́nlé ni “İyá-a Káà”; ìyá kan ò sí ní káà tí kò lórúkọ.,Calling a person “Mother of the Compound” is only a mark of respect; there is no mother in the compound who does not have a name.,"To translate the Yoruba proverb ""Àpọ́nlé ni “İyá-a Káà”; ìyá kan ò sí ní káà tí kò lórúkọ"" into English, let's break it down step by step:

1. **Àpọ́nlé ni “İyá-a Káà”**: 
   - ""Àpọ́nlé"" means ""respect"" or ""honor.""
   - ""ni"" is a linking verb that can mean ""is.""
   - “İyá-a Káà” refers to a mother in a specific context, often used to denote a mother figure or a respected elder woman.
   - So, this part can be translated as: ""Respect is due to 'Mother of the Town'.""

2. **ìyá kan ò sí ní káà tí kò lórúkọ**:
   - ""ìyá"" means ""mother.""
   - ""kan ò sí"" means ""there is none"" or ""there is no.""
   - ""ní káà"" means ""in the town"" or ""in the community.""
   - ""tí kò lórúkọ"" means ""that does not have a name"" or ""without a name.""
   - So, this part can be translated as: ""there is no mother in the town without a name.""

Putting it all together, the full translation of the proverb is:

""Respect is due to 'Mother of the Town'; there is no mother in the town without a name.""

This proverb emphasizes the importance of respecting all mothers or elder women in the community, as each one holds a significant place and identity."
ZeroShot-CoT,GPT,"Bí iná bá dun ọbẹ̀, a dá ọ̀rọ̀ sọ.","If the fire gets at the stew, the stew will burst into speech.","To translate the Yoruba proverb ""Bí iná bá dun ọbẹ̀, a dá ọ̀rọ̀ sọ"" into English, let's break it down step by step:

1. **Bí** - This means ""if"" or ""when"" in English.
2. **iná** - This translates to ""fire.""
3. **bá** - This is a linking word that can mean ""if"" or ""when"" in this context.
4. **dun** - This means ""is sweet"" or ""tastes good.""
5. **ọbẹ̀** - This translates to ""soup"" or ""stew.""
6. **a dá** - This means ""we create"" or ""we make.""
7. **ọ̀rọ̀** - This translates to ""discussion"" or ""conversation.""
8. **sọ** - This means ""to speak"" or ""to say.""

Putting it all together, the proverb can be translated as: ""When the fire makes the soup taste good, we create a conversation.""

The proverb suggests that when things are going well or are enjoyable, people are more likely to engage in conversation or discussion. It highlights the idea that positive circumstances can lead to more social interaction."
ZeroShot-CoT,GPT,Àṣejù baba àṣetẹ́; ẹ̀tẹ́ ní ńgbẹ̀hìn àṣejù; àgbàlagbà tó wẹ̀wù àṣejù ẹ̀tẹ́ ni yó fi rí.,Lack of moderation is the father of disgrace; disgrace comes of immoderation; a grown person who clothes himself in immoderation will find disgrace.,"To translate the Yoruba proverb ""Àṣejù baba àṣetẹ́; ẹ̀tẹ́ ní ńgbẹ̀hìn àṣejù; àgbàlagbà tó wẹ̀wù àṣejù ẹ̀tẹ́ ni yó fi rí"" into English, let's break it down step by step:

1. **Àṣejù baba àṣetẹ́**: 
   - ""Àṣejù"" means excessiveness or overdoing.
   - ""Baba"" means father or the origin.
   - ""Àṣetẹ́"" means disgrace or shame.
   - This part can be translated as ""Excessiveness is the father of disgrace.""

2. **Ẹ̀tẹ́ ní ńgbẹ̀hìn àṣejù**:
   - ""Ẹ̀tẹ́"" means disgrace or shame.
   - ""Ní ńgbẹ̀hìn"" means is the end or result.
   - ""Àṣejù"" means excessiveness.
   - This part can be translated as ""Disgrace is the end of excessiveness.""

3. **Àgbàlagbà tó wẹ̀wù àṣejù ẹ̀tẹ́ ni yó fi rí**:
   - ""Àgbàlagbà"" means an elder or an adult.
   - ""Tó wẹ̀wù"" means who wears or dons.
   - ""Àṣejù"" means excessiveness.
   - ""Ẹ̀tẹ́ ni yó fi rí"" means will end up in disgrace.
   - This part can be translated as ""An elder who wears the garment of excessiveness will end up in disgrace.""

Putting it all together, the full translation of the proverb is:
""Excessiveness is the father of disgrace; disgrace is the end of excessiveness; an elder who wears the garment of excessiveness will end up in disgrace.""

This proverb warns against the dangers of excessive behavior, suggesting that it ultimately leads to shame and disgrace."
ZeroShot-CoT,GPT,Ọjọ́ kan ṣoṣo là ńtẹ́; ojoojúmọ́ lojú ńtini.,It takes one day only for one to disgrace oneself; the shame is a daily affair.,"To translate the Yoruba proverb ""Ọjọ́ kan ṣoṣo là ńtẹ́; ojoojúmọ́ lojú ńtini"" into English, let's break it down step by step:

1. **""Ọjọ́ kan ṣoṣo là ńtẹ́""**: 
   - ""Ọjọ́ kan"" means ""one day.""
   - ""ṣoṣo"" means ""only"" or ""single.""
   - ""là ńtẹ́"" means ""we use to trap"" or ""we set a trap.""
   - So, this part can be translated as ""We set a trap only once.""

2. **""Ojoojúmọ́ lojú ńtini""**:
   - ""Ojoojúmọ́"" means ""every day"" or ""daily.""
   - ""lojú"" means ""in the eyes"" or ""the eyes.""
   - ""ńtini"" means ""are being opened"" or ""are being enlightened.""
   - So, this part can be translated as ""The eyes are opened every day.""

Putting it all together, the proverb can be translated into English as: ""We set a trap only once; the eyes are opened every day.""

This proverb suggests that while an action or opportunity might be singular or rare, awareness and learning are continuous processes. It emphasizes the importance of being observant and learning from daily experiences."
ZeroShot-CoT,GPT,A kì í dákẹ́ ká ṣìwí; a kì í wò sùn-ùn ká dáràn.,One does not keep quiet and yet misspeak; one does not silently contemplate the world and yet get into trouble.,"To translate the Yoruba proverb ""A kì í dákẹ́ ká ṣìwí; a kì í wò sùn-ùn ká dáràn"" into English, let's break it down step by step:

1. **""A kì í dákẹ́ ká ṣìwí""**: 
   - ""A kì í"" means ""one does not"" or ""it is not done to.""
   - ""dákẹ́"" means ""be silent"" or ""keep quiet.""
   - ""ká ṣìwí"" means ""and still speak"" or ""and then talk.""
   - Together, this part means ""One does not keep quiet and still speak.""

2. **""a kì í wò sùn-ùn ká dáràn""**:
   - ""a kì í"" again means ""one does not"" or ""it is not done to.""
   - ""wò sùn-ùn"" means ""look at something"" or ""observe.""
   - ""ká dáràn"" means ""and then be guilty"" or ""and be at fault.""
   - Together, this part means ""One does not just look and be guilty.""

Putting it all together, the proverb can be translated as:
""One does not keep quiet and still speak; one does not just look and be guilty.""

This proverb emphasizes the idea that actions and consequences are linked; you cannot claim to have done nothing (like being silent or just looking) and still be responsible for an outcome."
ZeroShot-CoT,GPT,"Ṣe bóo ti mọ, ẹlẹ́wàa Ṣàpọ́n.","Moderate your preening and strutting, beautiful woman of Ṣàpọ́n.","To translate the Yoruba proverb ""Ṣe bóo ti mọ, ẹlẹ́wàa Ṣàpọ́n"" into English, let's break it down step by step:

1. **Ṣe bóo ti mọ**: This phrase can be translated as ""As you know"" or ""As you are aware."" It sets the context for something that is commonly understood or acknowledged.

2. **ẹlẹ́wàa**: This term refers to a person who sells ""ewà,"" which is beans. In Yoruba culture, ""ẹlẹ́wà"" is often used to describe a bean seller, typically a woman.

3. **Ṣàpọ́n**: This is a place name, referring to a specific location. In this context, it is likely a market or area known for selling beans.

Putting it all together, the proverb can be translated to: ""As you know, the bean seller of Ṣàpón."" 

This proverb is often used to refer to something that is well-known or obvious, similar to saying ""as everyone knows"" in English."
ZeroShot-CoT,GPT,Gbogbo èèyàn ní ńsunkún-un Bánjọ; ṣùgbọ́n Bánjọ ò sunkún ara ẹ̀.,"Everybody laments Banjọ's fate, but Banjọ does not lament his own fate.","To translate the Yoruba proverb ""Gbogbo èèyàn ní ńsunkún-un Bánjọ; ṣùgbóṇ Bánjọ ò sunkún ara ẹ̀"" into English, let's break it down step by step:

1. **Gbogbo èèyàn** - This means ""Everybody"" or ""All people.""
2. **ní ńsunkún-un Bánjọ** - ""ní ńsunkún"" means ""are crying for"" or ""are lamenting for,"" and ""Bánjọ"" is a name. So, this part means ""are crying for Bánjọ.""
3. **ṣùgbóṇ** - This means ""but.""
4. **Bánjọ ò sunkún ara ẹ̀** - ""Bánjọ"" is the name again, ""ò"" is a negation meaning ""does not,"" ""sunkún"" means ""cry,"" and ""ara ẹ̀"" means ""himself."" So, this part means ""Bánjọ does not cry for himself.""

Putting it all together, the proverb translates to: ""Everybody is crying for Bánjọ, but Bánjọ does not cry for himself.""

This proverb suggests that while others may be concerned or worried about someone's situation, the person themselves may not be as affected or concerned."
